Title,First Published Date,Last Published Date,Slug,URL
Phil and Jo's Cafe,2021-10-30T02:53:12.264Z,2021-10-30T02:53:12.264Z,phil-and-jo-s-cafe,
Breakers,2021-11-05T06:41:31.754Z,2021-11-05T06:41:31.754Z,breakers,
Boho Cafe,2021-11-06T00:41:08.667Z,2021-11-14T03:57:42.578Z,boho-cafe,
Beaver & Bear,2021-11-19T06:55:59.952Z,2021-11-19T06:55:59.952Z,beaver-bear,
Rumour Has It,2021-11-20T22:19:13.535Z,2021-11-20T22:19:13.535Z,rumour-has-it,
Hanamizuki Japanese Restaurant,2021-11-26T06:14:02.217Z,2021-11-26T06:14:02.217Z,hanamizuki-japanese-restaurant,
Delish Cafe,2021-11-27T04:11:59.483Z,2021-11-27T04:11:59.483Z,delish-cafe,
Fire Home,2021-12-04T03:40:40.191Z,2021-12-04T03:40:40.191Z,fire-home,
Amayjen,2021-12-04T03:54:10.900Z,2021-12-04T03:54:10.900Z,amayjen,
Carl's Jr,2021-12-08T06:40:02.024Z,2021-12-08T06:43:40.051Z,carl-s-jr,
Southern Cross Garden Bar Restaurant,2021-12-12T05:46:01.958Z,2023-04-07T03:38:39.510Z,southern-cross-garden-bar-restaurant,
Caffe L'affare,2021-12-12T06:00:01.765Z,2024-06-01T02:59:51.433Z,caffe-l-affare,
Coffee Plus +,2021-12-20T07:16:49.144Z,2021-12-20T07:16:49.144Z,coffee-plus,
Licorice Cafe,2021-12-20T07:20:31.869Z,2021-12-20T07:20:31.869Z,licorice-cafe,
"Turangi Bridge Motel, Bar & Restaurant",2021-12-20T07:25:23.861Z,2023-10-21T22:37:35.107Z,turangi-bridge-motel-bar-restaurant,
Riverside Bar & Restaurant,2021-12-20T07:27:39.743Z,2021-12-20T07:27:39.743Z,riverside-bar-restaurant,
Wairakei Resort Taupo,2021-12-20T07:30:05.054Z,2021-12-20T07:45:52.079Z,wairakei-resort-taupo,
Flat Hills Cafe & Tourist Park,2021-12-30T06:32:04.192Z,2021-12-30T06:40:19.655Z,flat-hills-cafe,
Creel Tackle House & Cafe,2021-12-30T06:33:49.543Z,2021-12-30T06:33:49.543Z,creel-tackle-house-cafe,
Chada Thai,2021-12-31T22:34:21.459Z,2021-12-31T22:34:21.459Z,chada-thai,
